measurement_type,o_zone_id,d_zone_id,from_node_id,to_node_id,obs_count,est_count
link,,,1,2,3733.333,3820.9504585261097
link,,,1,3,4266.667,4178.530641247547
link,,,2,6,3733.333,3820.9504585261097
link,,,3,4,266.667,459.96245762483153
link,,,3,12,4000.0,3718.5681836227154
link,,,4,5,266.667,207.21193261624998
link,,,5,6,266.667,0
link,,,6,8,4000.0,3820.9504585261097
link,,,7,18,3733.333,3781.08942790952
link,,,8,7,3733.333,3781.08942790952
link,,,8,16,266.667,39.861030616589545
link,,,12,13,4000.0,3718.5681836227154
link,,,13,24,4000.0,3718.5681836227154
link,,,16,17,266.667,247.07296323283953
link,,,17,19,266.667,247.07296323283953
link,,,18,20,3733.333,3781.08942790952
link,,,19,20,266.667,499.82348824142105
link,,,21,20,3200.0,3712.7176621828717
link,,,21,22,533.333,2.925260719921724
link,,,22,20,800.0,5.850521439843448
link,,,23,22,266.667,2.925260719921724
link,,,24,21,3733.333,3715.6429229027935
link,,,24,23,266.667,2.925260719921724
production,1,,,,8000.0,7999.481099773656
attraction,,20,,,8000.0,7999.481099773656
