measurement_type,o_zone_id,d_zone_id,from_node_id,to_node_id,obs_count,est_count
link,,,1,547,4989.13,4914.907472575817
link,,,2,548,6719.41,6594.816641898409
link,,,3,549,10095.529,10257.114493244724
link,,,4,550,9444.62,9433.482802222972
link,,,5,551,17223.819,17968.85518151257
link,,,6,552,6446.03,6335.909496038485
link,,,7,553,9884.279,9813.080056613793
link,,,8,554,9252.299,9075.97359784704
link,,,9,555,6699.45,6589.0329277997935
link,,,10,556,13823.649,13993.303014545754
link,,,11,557,10551.06,10548.845886512758
link,,,12,558,6985.78,6835.25764194972
link,,,13,559,9401.48,9487.336039240174
link,,,14,560,14763.689,14970.180213414513
link,,,15,561,8934.72,8812.769539536523
link,,,16,562,10301.009,10674.092696959402
link,,,17,563,9098.549,9456.62490852512
link,,,18,564,9300.74,9523.503333495173
link,,,19,565,2624.61,2551.5479720402172
link,,,20,566,7707.95,7652.466471668354
link,,,21,567,4696.17,4593.854794422147
link,,,22,568,3370.82,3252.5532583033532
link,,,23,569,12667.829,13196.76333495708
link,,,24,570,6010.92,5963.423183349878
link,,,25,571,5993.21,5820.426044052793
link,,,26,572,12936.829,13624.953951265008
link,,,27,573,7749.49,7671.361115553052
link,,,28,574,8700.359,8821.100294961527
link,,,29,575,14581.239,15443.446013499002
link,,,30,576,5416.97,5358.143380834797
link,,,31,577,7838.86,7707.661217648555
link,,,32,578,7900.65,7927.213576916679
link,,,33,579,4727.45,4708.9020316146825
link,,,34,580,6460.14,6427.130378563538
link,,,35,581,5145.61,5115.744174402248
link,,,36,582,6100.87,6152.065847277651
link,,,37,583,1148.81,1026.84424490477
link,,,38,584,2228.48,1684.6720739201123
link,,,39,585,6737.86,6224.906845847357
link,,,40,586,1866.66,1577.034558868428
link,,,41,587,8069.74,7909.3636880445
link,,,42,588,2120.7,1752.2385863052773
link,,,43,589,5257.64,5058.8801399547765
link,,,44,590,7128.54,7023.5458883173615
link,,,45,591,6238.19,6072.999189099641
link,,,46,592,6568.32,6495.509660712811
link,,,47,593,2892.16,2505.7999744773633
link,,,48,594,4978.07,4640.114674011953
link,,,49,595,3495.58,3067.052379401654
link,,,50,596,4758.0,4438.319571459599
link,,,51,597,1577.3,1535.7795315929718
link,,,52,598,2041.28,1783.2353143164582
link,,,53,599,4665.33,4272.175949794825
link,,,54,600,1259.87,1257.6410494724146
link,,,55,601,1778.42,1900.6499226200337
link,,,56,602,4297.13,3513.3424725969394
link,,,57,603,1646.85,1613.0769871105751
link,,,58,604,5962.5,5003.8995089508835
link,,,59,605,5225.8,4333.538500319211
link,,,60,606,5148.46,4749.7886699519095
link,,,61,607,5264.46,4906.636771026405
link,,,62,608,5472.5,5230.606561514985
link,,,63,609,3718.92,3501.7148849824844
link,,,64,610,9104.31,9122.174144826462
link,,,65,611,3468.09,3251.883676447927
link,,,66,612,6193.35,5839.852911680824
link,,,67,613,3858.59,3576.8628805861204
link,,,68,614,6526.75,6204.420368629637
link,,,69,615,6270.57,5916.402118224821
link,,,70,616,4480.42,4189.855910141006
link,,,71,617,3979.92,3666.527521152283
link,,,72,618,7296.66,7338.238367743908
link,,,73,619,7675.9,7650.79580008421
link,,,74,620,2642.72,2368.3818691766155
link,,,75,621,2685.23,2549.0760037155464
link,,,76,622,5958.85,5657.428288991285
link,,,77,623,7998.54,7967.36871245767
link,,,78,624,6831.44,6790.418557739362
link,,,79,625,3838.33,3697.3541629226224
link,,,80,626,10315.78,10275.858339990134
link,,,81,627,8352.05,8029.319392545218
link,,,82,628,5765.21,5434.070147179816
link,,,83,629,4294.91,3964.938745114105
link,,,84,630,6438.08,6128.898004170833
link,,,85,631,13283.459,13690.642660196047
link,,,86,632,5293.37,4863.762471239477
link,,,87,633,5977.54,5398.987362534394
link,,,88,634,4579.16,4219.790683040846
link,,,89,635,2370.39,1688.290802091536
link,,,90,636,2212.55,1725.7607033487618
link,,,91,637,7079.22,7090.320182445494
link,,,92,638,1746.5,1313.78415531402
link,,,93,639,4363.86,3380.7857798303917
link,,,94,640,471.02,766.5174736440553
link,,,95,641,2752.81,2400.7143093927175
link,,,96,642,587.41,848.9339011518264
link,,,97,643,6304.83,6341.026634170192
link,,,98,644,8436.92,8304.53251140342
link,,,99,645,4527.16,4453.045438902312
link,,,100,646,3592.63,3344.243744943226
link,,,101,647,3144.71,3154.782374280421
link,,,102,648,3681.72,3656.0750663001922
link,,,103,649,1743.13,1579.4593823613677
link,,,104,650,3100.18,2986.8270041054498
