global_path_id,o_zone_id,d_zone_id,path_id,propotion
1,1,2,0,1.0000000000000002
2,1,3,0,1.0000000000000002
3,1,3,1,0.0
4,1,4,0,0.9999999999999999
5,1,4,1,0.0
6,1,5,0,1.0000000000000002
7,1,5,1,0.0
8,1,6,0,1.0000000000000002
9,1,6,1,0.0
10,1,7,0,0.9999999999999997
11,1,7,1,0.0
12,1,7,2,0.0
13,1,7,3,0.0
14,1,8,0,0.08095715598216069
15,1,8,1,0.6418206726848406
16,1,8,2,0.047313315544792914
17,1,8,3,0.016338244898019563
18,1,8,4,0.0
19,1,8,5,0.117677408682624
20,1,8,6,0.045075196835494
21,1,8,7,0.020091721642967297
22,1,8,8,0.03072628372910099
23,1,8,9,0.0
24,1,8,10,0.0
25,1,8,11,0.0
26,1,9,0,0.07893664209997456
27,1,9,1,0.6410408441745344
28,1,9,2,0.054749558731388245
29,1,9,3,0.01608474020940877
30,1,9,4,0.0
31,1,9,5,0.11582991604936049
32,1,9,6,0.04332868225564007
33,1,9,7,0.019780087729011003
34,1,9,8,0.03024952875068216
35,1,9,9,0.0
36,1,9,10,0.0
37,1,9,11,0.0
38,1,10,0,0.12785146080192214
39,1,10,1,0.561637010361635
40,1,10,2,0.0
41,1,10,3,0.0
42,1,10,4,0.0
43,1,10,5,0.03153383311658232
44,1,10,6,0.0
45,1,10,7,0.10760872435731213
46,1,10,8,0.09364240904877247
47,1,10,9,0.040896647223371815
48,1,10,10,0.03682991509040407
49,1,10,11,0.0
50,1,10,12,0.0
51,1,11,0,0.4145090108657747
52,1,11,1,0.0
53,1,11,2,0.0
54,1,11,3,0.5285700380200247
55,1,11,4,0.0
56,1,11,5,0.0569209511142006
57,1,12,0,1.0
58,1,13,0,0.9999999999999999
59,1,14,0,1.0000000000000002
60,1,15,0,0.9999999999999998
61,1,16,0,0.9999999999999999
62,1,17,0,1.0
63,1,18,0,1.0
64,1,19,0,1.0000000000000002
65,1,19,1,0.0
66,1,20,0,0.4808597801276403
67,1,20,1,0.0
68,1,20,2,0.4553774043668739
69,1,20,3,0.06376281550548607
70,1,20,4,0.0
71,1,20,5,0.0
72,1,21,0,0.9396822000189183
73,1,21,1,0.015829011461553848
74,1,21,2,0.0
75,1,21,3,0.0
76,1,21,4,0.044488788519527485
77,1,21,5,0.0
78,1,21,6,0.0
79,1,21,7,0.0
80,1,21,8,0.0
81,1,22,0,0.13272480973808565
82,1,22,1,0.5386901683207498
83,1,22,2,0.0
84,1,22,3,0.019225818905870915
85,1,22,4,0.0
86,1,22,5,0.0
87,1,22,6,0.1097377668928636
88,1,22,7,0.1070452151614022
89,1,22,8,0.020294960071902915
90,1,22,9,0.04162453759687757
91,1,22,10,0.030656723312247273
92,1,22,11,0.0
93,1,22,12,0.0
94,1,23,0,0.33192491530676393
95,1,23,1,0.32077606773594675
96,1,23,2,0.0
97,1,23,3,0.0
98,1,23,4,0.22924473123827352
99,1,23,5,0.0
100,1,23,6,0.09417431498211082
101,1,23,7,0.023879970736905044
102,1,23,8,0.0
103,1,23,9,0.0
104,1,23,10,0.0
105,1,23,11,0.0
106,1,24,0,1.0000000000000002
107,1,24,1,0.0
108,1,24,2,0.0
109,1,24,3,0.0
110,1,25,0,0.0
111,1,25,1,0.0
112,1,25,2,0.5122463955397475
113,1,25,3,0.4532725744636605
114,1,25,4,0.034481029996591514
115,1,26,0,1.0
116,1,26,1,0.0
117,1,26,2,0.0
118,1,27,0,1.0
119,1,27,1,0.0
120,1,28,0,0.5343956870970122
121,1,28,1,0.04820038521661233
122,1,28,2,0.0
123,1,28,3,0.40303612222511503
124,1,28,4,0.0
125,1,28,5,0.014367805461260642
126,1,30,0,0.5690566925167736
127,1,30,1,0.0
128,1,30,2,0.0
129,1,30,3,0.42767675740922195
130,1,30,4,0.0032665500740045286
131,1,30,5,0.0
132,1,31,0,0.9999999999999999
133,1,32,0,0.9999999999999997
134,1,33,0,0.9999999999999998
135,1,33,1,0.0
136,1,34,0,1.0000000000000002
137,1,35,0,1.0
138,1,36,0,1.0000000000000004
139,1,37,0,1.0000000000000002
140,1,37,1,0.0
141,1,38,0,1.0
142,1,38,1,0.0
143,1,39,0,0.39615296115005044
144,1,39,1,0.33491346270647904
145,1,39,2,0.0
146,1,39,3,0.0
147,1,39,4,0.0
